t,R
0,0.17541200000000096
1,0.17620000000000083
2,0.17620000000000083
3,0.1769600000000007
4,0.1769600000000007
5,0.1769600000000007
6,0.17732400000000043
7,0.17732400000000043
8,0.17732400000000043
9,0.17732400000000043
10,0.17732400000000043
11,0.17732400000000043
12,0.17732400000000043
13,0.17732400000000043
14,0.17732400000000043
15,0.17732400000000043
16,0.17732400000000043
17,0.17732400000000043
18,0.17732400000000043
19,0.17732400000000043
20,0.17732400000000043
21,0.17732400000000043
22,0.17732400000000043
23,0.17732400000000043
24,0.1773320000000005
25,0.1773320000000005
26,0.1773320000000005
27,0.1773320000000005
28,0.1773320000000005
29,0.177528000000001
30,0.177528000000001
